hooktheory_id,url,title,artist,bpm,key_tonic,mode,genre,chord_complexity,melodic_complexity,chord_melody_tension,chord_progression_novelty,chord_bass_melody
26781519,https://www.hooktheory.com/theorytab/view/adele/all-i-ask,All I Ask,Adele,,E,Major,,63,63,41,65,68
54065850,https://www.hooktheory.com/theorytab/view/adele/best-for-last,Best for Last,Adele,,D,Major,,23,20,69,22,97
31995030,https://www.hooktheory.com/theorytab/view/adele/can-i-get-it,Can I Get It,Adele,,A,Minor,,22,13,85,11,79
20712593,https://www.hooktheory.com/theorytab/view/adele/chasing-pavements,Chasing Pavements,Adele,,,,,92,62,37,86,85
80124379,https://www.hooktheory.com/theorytab/view/adele/cold-shoulder,Cold Shoulder,Adele,,,,,70,76,51,71,54
53413756,https://www.hooktheory.com/theorytab/view/adele/cry-your-heart-out,Cry Your Heart Out,Adele,,,,,33,53,95,84,93
52572882,https://www.hooktheory.com/theorytab/view/adele/dont-you-remember,Don't You Remember,Adele,,E♭,Major,,26,8,54,41,18
10047330,https://www.hooktheory.com/theorytab/view/adele/easy-on-me,Easy On Me,Adele,,F,Major,,56,72,32,76,45
73164799,https://www.hooktheory.com/theorytab/view/adele/he-wont-go,He Won't Go,Adele,,C,Minor,,73,22,11,27,91
39972403,https://www.hooktheory.com/theorytab/view/adele/hello,Hello,Adele,,F,Minor,,35,26,69,30,37
35945208,https://www.hooktheory.com/theorytab/view/adele/hometown-glory,Hometown Glory,Adele,,B♭,Minor,,51,58,51,48,53
6145482,https://www.hooktheory.com/theorytab/view/adele/i-drink-wine,I Drink Wine,Adele,,B♭,Major,,29,9,32,33,79
75123081,https://www.hooktheory.com/theorytab/view/adele/i-miss-you,I Miss You,Adele,,G,Minor,,54,15,85,94,26
5995281,https://www.hooktheory.com/theorytab/view/adele/love-in-the-dark,Love In The Dark,Adele,,A,Minor,,55,36,54,58,53
38473997,https://www.hooktheory.com/theorytab/view/adele/love-is-a-game,Love Is A Game,Adele,,D♭,Major,,82,18,58,82,95
97086417,https://www.hooktheory.com/theorytab/view/adele/make-you-feel-my-love,Make You Feel My Love,Adele,,B♭,Major,,56,40,50,62,82
76679009,https://www.hooktheory.com/theorytab/view/adele/melt-my-heart-to-stone,Melt My Heart to Stone,Adele,,B,Minor,,49,65,87,49,33
68449808,https://www.hooktheory.com/theorytab/view/adele/million-years-ago,Million Years Ago,Adele,,,,,81,31,38,87,65
47639791,https://www.hooktheory.com/theorytab/view/adele/my-little-love,My Little Love,Adele,,A♭,Major,,89,6,76,68,91
58923102,https://www.hooktheory.com/theorytab/view/adele/my-same,My Same,Adele,,E,Minor,,90,34,65,95,95
66473423,https://www.hooktheory.com/theorytab/view/adele/oh-my-god,Oh My God,Adele,,B♭,Minor,,55,76,53,63,33
23598532,https://www.hooktheory.com/theorytab/view/adele/one-and-only,One and Only,Adele,,,,,22,31,89,72,73
38125637,https://www.hooktheory.com/theorytab/view/adele/right-as-rain,Right as Rain,Adele,,F♯,Major,,77,43,81,55,53
85427656,https://www.hooktheory.com/theorytab/view/adele/river-lea,River Lea,Adele,,,,,31,41,71,5,44
75444281,https://www.hooktheory.com/theorytab/view/adele/rolling-in-the-deep,Rolling in the Deep,Adele,,C,Minor,,40,29,88,25,69
95786225,https://www.hooktheory.com/theorytab/view/adele/rumor-has-it,Rumor Has It,Adele,,D,Minor,,59,39,76,46,63
26750881,https://www.hooktheory.com/theorytab/view/adele/send-my-love,Send My Love,Adele,,D,Major,,13,20,8,36,23
61830589,https://www.hooktheory.com/theorytab/view/adele/set-fire-to-the-rain,Set Fire to the Rain,Adele,,,,,47,42,49,59,85
31960862,https://www.hooktheory.com/theorytab/view/adele/skyfall,Skyfall,Adele,,C,Minor,,79,21,57,75,98
4232267,https://www.hooktheory.com/theorytab/view/adele/someone-like-you,Someone Like You,Adele,,A,Major,,32,28,56,46,66
19923070,https://www.hooktheory.com/theorytab/view/adele/strangers-by-nature,Strangers By Nature,Adele,,F,Major,,74,89,67,85,54
48473316,https://www.hooktheory.com/theorytab/view/adele/sweetest-devotion,Sweetest Devotion,Adele,,,,,51,7,92,85,47
41605547,https://www.hooktheory.com/theorytab/view/adele/to-be-loved,To Be Loved,Adele,,A♭,Major,,71,18,81,74,75
35485778,https://www.hooktheory.com/theorytab/view/adele/turning-tables,Turning Tables,Adele,,C,Minor,,59,26,24,77,13
45776731,https://www.hooktheory.com/theorytab/view/adele/water-under-the-bridge,Water Under The Bridge,Adele,,E♭,Major,,8,12,84,15,33
58791161,https://www.hooktheory.com/theorytab/view/adele/when-we-were-young,When We Were Young,Adele,,E♭,Major,,34,18,65,34,88
48769562,https://www.hooktheory.com/theorytab/view/adele/woman-like-me,Woman Like Me,Adele,,E,Minor,,83,44,40,66,48
61322426,https://www.hooktheory.com/theorytab/view/4hero-and-face/look-inside,Look Inside,4hero and Face,,,,,80,57,43,84,40
20951308,https://www.hooktheory.com/theorytab/view/aaron-ackerson/aaron-goes-to-california,Aaron Goes to California,Aaron Ackerson,,,,,99,59,96,88,38
21752815,https://www.hooktheory.com/theorytab/view/aarongrooves/jazzy-note-blocks,Jazzy Note Blocks,AaronGrooves,,C,Minor,,95,91,98,95,81
93362664,https://www.hooktheory.com/theorytab/view/aarongrooves/note-block-battle,Note Block Battle,AaronGrooves,,D♯,Minor,,94,70,90,92,81
33765230,https://www.hooktheory.com/theorytab/view/adam-neely/adam-neelys-bass-lessons,Adam Neely's Bass Lessons,Adam Neely,,D,Major,,98,100,100,80,52
19973579,https://www.hooktheory.com/theorytab/view/adam-neely/superfast-instagram-q-and-a,Superfast Instagram Q and A,Adam Neely,,F,Minor,,98,96,99,99,0
63987647,https://www.hooktheory.com/theorytab/view/adam-neely/want-to-want-me---sungazer,Want to Want Me - Sungazer,Adam Neely,,C,Minor,,96,52,68,73,58
76279947,https://www.hooktheory.com/theorytab/view/adam-routt/zzz,zzz,Adam Routt,,D♭,Major,,72,93,93,50,60
20712593,https://www.hooktheory.com/theorytab/view/adele/chasing-pavements,Chasing Pavements,Adele,,,,,92,62,37,86,85
53413756,https://www.hooktheory.com/theorytab/view/adele/cry-your-heart-out,Cry Your Heart Out,Adele,,,,,33,53,95,84,93
19923070,https://www.hooktheory.com/theorytab/view/adele/strangers-by-nature,Strangers By Nature,Adele,,F,Major,,74,89,67,85,54
83701169,https://www.hooktheory.com/theorytab/view/ado/all-night-radio,All Night Radio,Ado,,,,,89,13,20,91,76
56084354,https://www.hooktheory.com/theorytab/view/aivi-and-surasshu/come-back,Come Back,aivi and surasshu,,G,Major,,74,78,74,67,95
22345491,https://www.hooktheory.com/theorytab/view/aivi-tran-and-steven-surasshu-velema/love-like-you---steven-universe-credits-theme,Love Like You - Steven Universe Credits Theme,Aivi Tran and Steven 'surasshu' Velema,,E♭,Major,,95,81,25,92,77
53945307,https://www.hooktheory.com/theorytab/view/akiko-yano/water-ways-flow-backward-again,Water Ways Flow Backward Again,Akiko Yano,,,,,97,82,98,79,82
28399783,https://www.hooktheory.com/theorytab/view/alex-argento/moving-around-e,Moving Around E,Alex Argento,,B♭,Minor,,98,98,93,98,92
19805886,https://www.hooktheory.com/theorytab/view/ali/wild-side,Wild Side,ALI,,C,Minor,,56,88,83,62,15
96579564,https://www.hooktheory.com/theorytab/view/alicia-keys/if-i-aint-got-you,If I Ain't Got You,Alicia Keys,,G,Major,,74,56,17,36,100
10835497,https://www.hooktheory.com/theorytab/view/alina-baraz-and-galimatias/pretty-thoughts---fkj-remix,Pretty Thoughts - FKJ Remix,Alina Baraz and Galimatias,,E♭,Major,,89,95,89,98,42
44917811,https://www.hooktheory.com/theorytab/view/ana-frango-el%3Ftrico/mulher-homem-bicho,Mulher Homem Bicho,Ana Frango Elétrico,,E,Minor,,,,,,
60577303,https://www.hooktheory.com/theorytab/view/ana-frango-eletrico/promessas-e-previsoes,Promessas e Previsoes,Ana Frango Eletrico,,D,Major,,75,0,0,81,23
80959467,https://www.hooktheory.com/theorytab/view/andres/the-gluten-free-mambo-tango-experience,The Gluten Free Mambo Tango Experience,andres,,,,,99,99,98,90,72
73206891,https://www.hooktheory.com/theorytab/view/andrew-huang/trance-math-jazz-and-some-other-things,Trance Math Jazz and Some Other Things,Andrew Huang,,,,,98,94,48,98,46
18538631,https://www.hooktheory.com/theorytab/view/andy-clark/please-dont-shoot-the-trombone-players,Please Don't Shoot the Trombone Players,Andy Clark,,,,,48,96,55,41,67
20479509,https://www.hooktheory.com/theorytab/view/andy-williams/happy-holiday,Happy Holiday,Andy Williams,,,,,,,,,
20574647,https://www.hooktheory.com/theorytab/view/anne-dudley/jeeves-and-wooster,Jeeves and Wooster,Anne Dudley,,E,Minor,,95,69,56,89,100
85486252,https://www.hooktheory.com/theorytab/view/anomalie/canal,Canal,Anomalie,,C♯,Minor,,99,92,88,93,85
91852800,https://www.hooktheory.com/theorytab/view/anomalie/metropole,Metropole,Anomalie,,E,Major,,98,94,66,96,51
96805968,https://www.hooktheory.com/theorytab/view/anomalie/odyssee,Odyssee,Anomalie,,F♯,Minor,,95,92,70,81,100
85483588,https://www.hooktheory.com/theorytab/view/antonio-carlos-jobim/triste,Triste,Antonio Carlos Jobim,,A,Major,,98,94,53,97,59
25426276,https://www.hooktheory.com/theorytab/view/aquarian-dream/fantasy,Fantasy,Aquarian Dream,,C♯,Minor,,94,29,56,94,24
51162522,https://www.hooktheory.com/theorytab/view/ariana-grande/jasons-song-%28gave-it-away%29,Jason's Song (Gave It Away),Ariana Grande,,G,Minor,,97,22,63,84,90
13029968,https://www.hooktheory.com/theorytab/view/ariana-grande/test-drive,test drive,Ariana Grande,,,,,92,73,52,99,47
37937605,https://www.hooktheory.com/theorytab/view/astor-piazzolla/libertango,Libertango,Astor Piazzolla,,A,Minor,,97,70,22,96,97
37276227,https://www.hooktheory.com/theorytab/view/atsuko-asahi/animal-crossing-%28winter%29---mario-kart-8,Animal Crossing (Winter) - Mario Kart 8,Atsuko Asahi,,,,,96,59,64,90,49
40272634,https://www.hooktheory.com/theorytab/view/badbadnotgood/kaleidoscope,Kaleidoscope,BADBADNOTGOOD,,B♭,Major,,81,77,14,79,20
62975931,https://www.hooktheory.com/theorytab/view/badbadnotgood/time-moves-slow-%28feat-sam-herring%29,Time Moves Slow (feat Sam Herring),BADBADNOTGOOD,,F♯,Minor,,96,51,43,88,41
99909731,https://www.hooktheory.com/theorytab/view/bang-bang-my-baby-shot-me-down/nancy-sinatra,Nancy Sinatra,Bang Bang My Baby Shot Me Down,,F,Minor,,50,51,28,21,28
30694690,https://www.hooktheory.com/theorytab/view/barnyard/pool-music,Pool Music,Barnyard,,,,,92,93,64,95,96
51956955,https://www.hooktheory.com/theorytab/view/ben-stewart/blooket---cafe,Blooket - Cafe,Ben Stewart,,C,Major,,98,0,0,76,23
1936903,https://www.hooktheory.com/theorytab/view/bensound/elevator-bossa-nova,Elevator Bossa Nova,Bensound,,D,Major,,94,93,47,77,78
56334554,https://www.hooktheory.com/theorytab/view/bent-van-looy/flowers-and-balloons,Flowers and Balloons,Bent Van Looy,,,,,86,9,22,78,67
8781543,https://www.hooktheory.com/theorytab/view/bernard-herrmann/theme-from-taxi-driver,Theme From Taxi Driver,Bernard Herrmann,,G,Minor,,99,93,82,97,19
66305884,https://www.hooktheory.com/theorytab/view/bill-laurance/zeal,Zeal,Bill Laurance,,,,,93,74,63,92,35
43375609,https://www.hooktheory.com/theorytab/view/bill-wurtz/central-park-west,Central Park West,Bill Wurtz,,B,Major,,91,45,15,62,40
23027622,https://www.hooktheory.com/theorytab/view/bill-wurtz/hey-mom-i-beat-the-scale,Hey Mom I Beat The Scale,Bill Wurtz,,C,Minor,,99,91,73,68,90
36558598,https://www.hooktheory.com/theorytab/view/bill-wurtz/mount-st-helens-is-about-to-blow-up,Mount St Helens Is About To Blow Up,Bill Wurtz,,,,,86,38,36,84,19
58416792,https://www.hooktheory.com/theorytab/view/billie-eilish/billie-bossa-nova,Billie Bossa Nova,Billie Eilish,,G,Minor,,90,28,48,88,12
81127187,https://www.hooktheory.com/theorytab/view/billlie/the-eleventh-day,the eleventh day,Billlie,,,,,86,55,71,94,91
56092512,https://www.hooktheory.com/theorytab/view/billy-joel/just-the-way-you-are,Just The Way You Are,Billy Joel,,D,Major,,87,80,14,82,16
40244441,https://www.hooktheory.com/theorytab/view/billy-joel/zanzibar,Zanzibar,Billy Joel,,,,,96,90,31,88,76
34797192,https://www.hooktheory.com/theorytab/view/billy-strayhorn/upper-manhattan-medical-group,Upper Manhattan Medical Group,Billy Strayhorn,,D♭,Major,,95,97,95,100,25
77971906,https://www.hooktheory.com/theorytab/view/bizarrap/peso-pluma-bzrp-music-sessions-vol-55,Peso Pluma BZRP Music Sessions Vol 55,Bizarrap,,F,Minor,,77,11,64,44,27
85604485,https://www.hooktheory.com/theorytab/view/bjork/its-oh-so-quiet,It's Oh So Quiet,Bjork,,,,,87,35,37,86,98
49274226,https://www.hooktheory.com/theorytab/view/bjork/like-someone-in-love,Like Someone In Love,Bjork,,G,Major,,96,41,19,98,71
89114051,https://www.hooktheory.com/theorytab/view/bo-en/my-time,My Time,bo en,,,,,81,76,37,80,23
36562937,https://www.hooktheory.com/theorytab/view/bob-acri/sleep-away,Sleep Away,Bob Acri,,E♭,Major,,92,95,52,93,74
11892542,https://www.hooktheory.com/theorytab/view/bob-james/angela---theme-from-taxi,Angela - Theme From 'Taxi',Bob James,,E♭,Major,,74,42,70,81,97
72368353,https://www.hooktheory.com/theorytab/view/bobby-caldwell/my-flame,My Flame,Bobby Caldwell,,E,Minor,,98,33,11,98,31
13473130,https://www.hooktheory.com/theorytab/view/bonobo/el-toro,El Toro,Bonobo,,F♯,Minor,,60,31,13,45,55
69490045,https://www.hooktheory.com/theorytab/view/bonobo/flutter,Flutter,Bonobo,,D,Minor,,43,22,94,58,73
71602529,https://www.hooktheory.com/theorytab/view/bonobo/kong,Kong,Bonobo,,,,,44,11,30,28,97
43017174,https://www.hooktheory.com/theorytab/view/bonobo/noctuary,Noctuary,Bonobo,,G,Minor,,59,0,0,43,0
43201655,https://www.hooktheory.com/theorytab/view/bonobo/nothing-owed,Nothing Owed,Bonobo,,B,Minor,,89,91,68,76,48
69065088,https://www.hooktheory.com/theorytab/view/bossacucanova/previsao,Previsao,Bossacucanova,,F♯,Major,,97,0,0,98,92
62232130,https://www.hooktheory.com/theorytab/view/brad-mehldau/the-garden,The Garden,Brad Mehldau,,,,,96,99,98,96,96
76178308,https://www.hooktheory.com/theorytab/view/brad-mehldau/when-it-rains,When It Rains,Brad Mehldau,,B,Major,,94,99,30,97,76
4242730,https://www.hooktheory.com/theorytab/view/brandon-williams-feat-joi-tiffany/you-make-me-love-real,You Make Me Love Real,Brandon Williams feat Joi Tiffany,,E♭,Major,,92,0,0,92,55
40309226,https://www.hooktheory.com/theorytab/view/brawl-stars/jae-yong-menu-music,Jae-Yong Menu Music,Brawl Stars,,,,,94,94,58,85,76
1571224,https://www.hooktheory.com/theorytab/view/brian-culbertson/later-tonight,Later Tonight,Brian Culbertson,,B,Minor,,68,81,70,43,50
69577256,https://www.hooktheory.com/theorytab/view/buddy-holly/thatll-be-the-day,That'll Be The Day,Buddy Holly,,A,Major,,22,82,95,31,18
20745843,https://www.hooktheory.com/theorytab/view/by-storm/double-trio,Double Trio,By Storm,,A,Major,,85,0,0,100,51
49399660,https://www.hooktheory.com/theorytab/view/cadence-hira/wii-pickleball,Wii Pickleball,Cadence Hira,,C,Major,,91,98,99,82,84
10524520,https://www.hooktheory.com/theorytab/view/capsule/retro-memory,Retro Memory,Capsule,,,,,97,63,12,82,11
26451479,https://www.hooktheory.com/theorytab/view/caravan-palace/bambous,Bambous,Caravan Palace,,E,Major,,97,86,83,94,72
51117909,https://www.hooktheory.com/theorytab/view/caravan-palace/beatophone,Beatophone,Caravan Palace,,D♭,Major,,64,31,57,67,46
53011290,https://www.hooktheory.com/theorytab/view/caravan-palace/brotherswing,Brotherswing,Caravan Palace,,,,,100,92,100,99,41
34426750,https://www.hooktheory.com/theorytab/view/caravan-palace/lone-digger,Lone Digger,Caravan Palace,,,,,76,92,96,83,92
91024112,https://www.hooktheory.com/theorytab/view/caravan-palace/maniac,Maniac,Caravan Palace,,,,,96,7,16,96,13
97149355,https://www.hooktheory.com/theorytab/view/caravan-palace/sydney,Sydney,Caravan Palace,,,,,86,85,69,98,25
26449675,https://www.hooktheory.com/theorytab/view/caro-emerald/a-night-like-this,A Night Like This,Caro Emerald,,C♯,Minor,,97,9,41,97,0
58557184,https://www.hooktheory.com/theorytab/view/carpenters/all-i-can-do,All I Can Do,Carpenters,,,,,91,86,21,80,56
38098499,https://www.hooktheory.com/theorytab/view/carter-vail/dirt-man,Dirt Man,Carter Vail,,D,Major,,86,42,13,69,48
5778553,https://www.hooktheory.com/theorytab/view/casiopea/domino-line,Domino Line,Casiopea,,B,Minor,,97,98,63,100,44
29870303,https://www.hooktheory.com/theorytab/view/casiopea/galactic-funk,Galactic Funk,Casiopea,,,,,100,0,0,99,27
41645065,https://www.hooktheory.com/theorytab/view/casiopea/take-me,Take Me,Casiopea,,,,,97,85,90,92,49
51779593,https://www.hooktheory.com/theorytab/view/charlie-parker/yardbird-suite,Yardbird Suite,Charlie Parker,,C,Major,,93,91,94,75,34
24937896,https://www.hooktheory.com/theorytab/view/chet-baker/its-always-you,It's Always You,Chet Baker,,A♭,Major,,86,77,32,67,56
